16,108,+447926,,,,Lindy Property-f Settlement                                                                     
16,475,+128709,0,8518340,19394,CHECK PAID                                                                         
16,475,+51180,0,8529030,19392,CHECK PAID                                                                          
49,+33747524,8/
03,709901359,,015,+15136306,,,045,+14543339,,,100,+8350,,,400,+314995,,/                                          
16,108,+8350,,,,YARDI CARD DEP   FT135Trans                                                                       
16,475,+194995,0,8189980,19390,CHECK PAID                                                                         
16,475,+120000,0,8188570,19387,CHECK PAID                                                                         
49,+30326335,5/
03,709901359,,015,+14821798,,,045,+14806699,,,100,+278459,,,400,+592967,,/                                        
16,108,+60000,,,,Lindy Property-f Settlement                                                                      
16,108,+218459,,,,Lindy Property-f Settlement                                                                     
16,409,+592967,0,,,Lindy Longwood M PREFUND                                                                       
49,+31371349,5/
03,709901359,,015,+14917138,,,045,+14917138,,,100,+126608,,,400,+31268,,/                                         
16,108,+62053,,,,236073801        JOSHUAHSE                                                                       
16,409,+15099,0,,,Lindy Longwood M PREFUND                                                                        
16,409,+16169,0,,,CASS INFO. SHIP. CONC ACCTS                                                                     
16,108,+2407,,,,Lindy Property-f Settlement                                                                       
16,108,+23164,,,,236073801        FOUNTAING                                                                       
16,108,+38984,,,,236073801        ROOSEVELT                                                                       
49,+30150028,8/
03,709901359,,015,+14917138,,,045,+14917138,,,100,,,,400,,,/                                                      
49,+29834276,2/
03,709901359,,015,+14917138,,,045,+14917138,,,100,,,,400,,,/                                                      
49,+29834276,2/
03,709901359,,015,+15077838,,,045,+15077838,,,100,+180700,,,400,+20000,,/                                         
16,108,+180700,,,,Lindy Property-f Settlement                                                                     
16,475,+20000,0,8024070,19389,CHECK PAID                                                                          
49,+30557076,4/
03,709901359,,015,+15159745,,,045,+15159745,,,100,+164907,,,400,+83000,,/                                         
16,108,+164907,,,,YARDI CARD DEP   FT135Trans                                                                     
16,475,+28000,0,8593120,19400,CHECK PAID                                                                          
16,475,+55000,0,8574290,19395,CHECK PAID                                                                          
49,+30815304,5/
03,709901359,,015,+14911981,,,045,+14853862,,,100,+58119,,,400,+305883,,/                                         
16,108,+58119,,,,DEPOSIT ANY TYPE                                                                                 
16,409,+37155,0,,,BUCKEYE TELESYST BUCKEYE                                                                        
16,475,+13296,0,8210190,19398,CHECK PAID                                                                          
